upstream_pkg	fedora_pkg	copr	flatpak	source_build	status	rationale
aether	-	-	-	investigate github.com/basecamp	dropped	Basecamp first-party AUR-only tool; no known independent source repo found yet, needs investigation before a Fedora build can exist
alsa-utils	alsa-utils	-	-	-	dnf	1:1 name match
asdcontrol	-	-	-	build from source (github.com/nikosdion/asdcontrol or similar)	source-build	Apple display brightness tool, AUR-only, tiny C source; buildable directly
avahi	avahi	-	-	-	dnf	1:1 name match
bash-completion	bash-completion	-	-	-	dnf	1:1 name match
bat	bat	-	-	-	dnf	1:1 name match
bluez	bluez	-	-	-	dnf	1:1 name match
bluez-tools	bluez-tools	-	-	-	dnf	1:1 name match
bluez-utils	-	-	-	-	dropped	Arch splits bluetoothctl into bluez-utils; Fedora ships it inside the bluez package itself
bolt	bolt	-	-	-	dnf	1:1 name match (Thunderbolt device manager)
brightnessctl	brightnessctl	-	-	-	dnf	1:1 name match
btop	btop	-	-	-	dnf	1:1 name match
chromium	-	-	org.chromium.Chromium	-	flatpak	Not in Fedora repos (codec/licensing); Flathub build is the standard Fedora-recommended path
clang	clang	-	-	-	dnf	1:1 name match
cliamp	-	-	-	investigate github.com/basecamp	dropped	Basecamp first-party AUR-only tool; needs upstream-source investigation
cups	cups	-	-	-	dnf	1:1 name match
cups-browsed	cups-browsed	-	-	-	dnf	1:1 name match
cups-filters	cups-filters	-	-	-	dnf	1:1 name match
cups-pdf	cups-pdf	-	-	-	dnf	1:1 name match
docker	-	-	-	Docker's own dnf repo (download.docker.com), not COPR	external-repo	Fedora doesn't package Docker CE (prefers Podman); Docker publishes and supports an official dnf repo directly
docker-buildx	-	-	-	same Docker repo as docker	external-repo	ships as docker-buildx-plugin from the same Docker repo
docker-compose	-	-	-	same Docker repo as docker	external-repo	ships as docker-compose-plugin from the same Docker repo
dosfstools	dosfstools	-	-	-	dnf	1:1 name match
dotnet-runtime	dotnet-runtime-9.0	-	-	-	dnf	Fedora versions its .NET packages (dotnet-runtime-X.Y); a real bootstrap run showed the bare "dotnet-runtime" meta-package doesn't exist. Not independently confirmed which LTS version is current on every Fedora release -- verify before relying on it
dua-cli	-	-	-	mise registry wrapper as dua (install/user/source-tools.sh)	source-build	not consistently packaged; installed per-user from upstream releases through mise
evince	evince	-	-	-	dnf	1:1 name match (GNOME's newer "Papers" may eventually replace it; revisit)
exfatprogs	exfatprogs	-	-	-	dnf	1:1 name match
expac	-	-	-	-	dropped	Arch-specific pacman query formatter; dnf repoquery covers the same need natively, no Fedora port needed
eza	eza	-	-	-	dnf	Fedora added eza to official repos
fakeroot	fakeroot	-	-	-	dnf	1:1 name match
fastfetch	fastfetch	-	-	-	dnf	1:1 name match
fcitx5	fcitx5	-	-	-	dnf	1:1 name match
fcitx5-gtk	fcitx5-gtk4	-	-	-	dnf	Fedora splits by GTK version; use fcitx5-gtk4 (and fcitx5-gtk3 if GTK3 apps need it)
fcitx5-qt	fcitx5-qt	-	-	-	dnf	1:1 name match
fd	fd-find	-	-	-	dnf	Fedora package name differs (fd-find); binary installs as fdfind on Debian-family only, stays fd on Fedora
ffmpegthumbnailer	ffmpegthumbnailer	-	-	-	dnf	1:1 name match
fontconfig	fontconfig	-	-	-	dnf	1:1 name match
foot	foot	-	-	-	dnf	1:1 name match
fzf	fzf	-	-	-	dnf	1:1 name match
git	git	-	-	-	dnf	1:1 name match
gnome-calculator	gnome-calculator	-	-	-	dnf	1:1 name match
gnome-keyring	gnome-keyring	-	-	-	dnf	1:1 name match
gnome-themes-extra	-	-	-	-	dropped	a real bootstrap run showed neither "gnome-themes-extra" nor a guessed replacement ("adwaita-gtk2-theme") exist on Fedora 44; minor/cosmetic legacy GTK2 theming, not worth further guessing -- investigate the real current package name if this specific theming is ever needed
grim	grim	-	-	-	dnf	1:1 name match
gpu-screen-recorder	-	dec05eba/gpu-screen-recorder	-	-	copr	not in official Fedora repos; maintainer-run COPR is the standard install path
gum	gum	-	-	-	dnf	confirmed installable directly via dnf (bootstrap.sh installs it alongside git before this map is even consulted); no COPR needed on current Fedora
gvfs-mtp	gvfs-mtp	-	-	-	dnf	1:1 name match
gvfs-nfs	gvfs-nfs	-	-	-	dnf	1:1 name match
gvfs-smb	gvfs-smb	-	-	-	dnf	1:1 name match
hyprland	hyprland	nett00n/hyprland	-	-	copr	nett00n/hyprland actively builds the complete Hyprland stack for Fedora 44; the former solopasha fallback is stale and currently has unsatisfied libdisplay-info dependencies
hyprland-guiutils	hyprland-guiutils	nett00n/hyprland	-	-	copr	provided by the same Fedora 44-ready COPR as Hyprland
hyprland-preview-share-picker	-	-	-	-	dropped	same functionality as xdg-desktop-portal-hyprland, already a separate working entry in install/fedory-base.packages -- this upstream name doesn't exist as a distinct package in the solopasha COPR (confirmed via a real bootstrap run), and doesn't need to
hyprpicker	hyprpicker	nett00n/hyprland	-	-	copr	keep the Hyprland component stack on one Fedora 44-compatible COPR
hyprsunset	hyprsunset	nett00n/hyprland	-	-	copr	keep the Hyprland component stack on one Fedora 44-compatible COPR
imagemagick	ImageMagick	-	-	-	dnf	Fedora package name is capitalized ImageMagick
imv	imv	-	-	-	dnf	1:1 name match
inetutils	-	-	-	-	dropped	a real bootstrap run showed this package name doesn't exist on Fedora 44; legacy network tools (telnet, ftp, rsh) that aren't essential to the desktop, not worth guessing an alternate name for
inotify-tools	inotify-tools	-	-	-	dnf	1:1 name match
inxi	inxi	-	-	-	dnf	1:1 name match
jq	jq	-	-	-	dnf	1:1 name match
kdenlive	kdenlive	-	-	-	dnf	1:1 name match
kernel-modules-hook	-	-	-	-	dropped	Arch pacman hook for kernel module cleanup; dnf/dracut already handles this on Fedora
lazydocker	-	-	-	mise registry wrapper (install/user/source-tools.sh)	source-build	not in Fedora repos; installed per-user from upstream releases through mise
lazygit	-	-	-	mise registry wrapper (install/user/source-tools.sh)	source-build	not in Fedora repos; installed per-user from upstream releases through mise
less	less	-	-	-	dnf	1:1 name match
libsecret	libsecret	-	-	-	dnf	1:1 name match
libyaml	libyaml	-	-	-	dnf	1:1 name match
libreoffice-fresh	libreoffice	-	-	-	dnf	Fedora doesn't split fresh/still; one rolling libreoffice package
llvm	llvm	-	-	-	dnf	1:1 name match
localsend	-	-	org.localsend.localsend_app	-	flatpak	not in Fedora repos; Flathub is upstream's own recommended distribution channel
lua51	-	-	-	compat-lua5.1 if available, else build lua-5.1 from source	source-build	Fedora's lua package defaults to 5.4; Hyprland/nvim plugin ecosystem pinned to 5.1 needs an explicit compat build
luarocks	luarocks	-	-	-	dnf	1:1 name match
man-db	man-db	-	-	-	dnf	1:1 name match
mariadb-libs	mariadb-connector-c	-	-	-	dnf	Fedora's client library package is named differently
mise	-	-	-	official install script (mise.jdx.dev) or cargo install mise	source-build	not in Fedora repos; upstream's own install script is the documented path
moonlight-qt	-	-	com.moonlight_stream.Moonlight	-	flatpak	not in Fedora repos; Flathub is upstream's recommended channel
mpv	mpv	-	-	-	dnf (RPM Fusion)	needs RPM Fusion free enabled
mpv-mpris	mpv-mpris	-	-	-	dnf (RPM Fusion)	needs RPM Fusion free enabled
nautilus	nautilus	-	-	-	dnf	1:1 name match
nautilus-python	nautilus-python	-	-	-	dnf	1:1 name match
gnome-disk-utility	gnome-disk-utility	-	-	-	dnf	1:1 name match
noto-fonts	google-noto-sans-fonts	-	-	-	dnf	Fedora's Noto packages are split and prefixed google-noto-*
noto-fonts-cjk	google-noto-sans-cjk-vf-fonts	-	-	-	dnf	confirmed via a real bootstrap run (Fedora 44 installs this under the -vf- variable-font naming, not the older -ttc- TrueType Collection name this row previously guessed)
noto-fonts-emoji	google-noto-emoji-fonts	-	-	-	dnf	see noto-fonts naming note
nss-mdns	nss-mdns	-	-	-	dnf	1:1 name match
nvim	neovim	-	-	-	dnf	Fedora package name is neovim, not nvim
obs-studio	obs-studio	-	-	-	dnf (RPM Fusion)	needs RPM Fusion free enabled
obsidian	-	-	md.obsidian.Obsidian	-	flatpak	not in Fedora repos; Flathub is the standard install path
omacut	-	-	-	investigate github.com/basecamp	dropped	Basecamp first-party AUR-only tool; needs upstream-source investigation
omawrite	-	-	-	investigate github.com/basecamp	dropped	Basecamp first-party AUR-only tool; needs upstream-source investigation
omarchy-nvim	-	-	-	fork the upstream Neovim config as our own default config	source-build	this is upstream's own curated Neovim distro config, not a generic tool; Fedory needs its own equivalent config rather than a packaging translation
